participantId,readableId,isProlific
5101b146-ce6f-4f61-8818-118229a2308b,alpha,False
782e2f94-ade5-4279-94aa-9dcdb26abbcd,bravo,False
7b88dea0-0445-4362-b670-01be60f5195b,charlie,False
6369700320bc7dd22e733009,delta,True
60cf0d251a90eb823bc9b740,echo,True
662e66138060bf4a9db8c159,foxtrot,True
676578e9b3ad38588f8808ba,golf,True
66e4e41d14e1d19d88229740,hotel,True
67f9613e658e3cf579bf5c25,india,True
67d088ccec81d322ccede723,juliet,True
55eb4774748092000baa97ee,kilo,True
55c495d2fdf99b2d6cabb691,lima,True
667987c18f34110073ae20b7,mike,True
5d879c06e645c60019847113,november,True
65537e14439274fe5036b4d2,oscar,True
67f015260f679212b3c34caa,papa,True
6697cf02d714e7ee3fdedcec,quebec,True
5827634ea80bf4000199994b,romeo,True
63956692bbbcfadf1156c3a2,sierra,True
67eee89119de070d8b864f60,tango,True
5dcfaad2dd9a740c2493fc28,uniform,True
62d59b380be0866cf039e0ee,victor,True
676572d1818b3b26ca9f6ce2,whiskey,True
