readableId,participantGroup,participantId,isProlific,participantIndex,completed,ip,country,language,userAgent,resolutionWidth,resolutionHeight,firstStimulus,secondStimulus
tango,badge-group,67eee89119de070d8b864f60,True,44,True,113.20.54.14,US,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",1280,720,co2-emissions,global-warming-projection
sierra,footnote-group,63956692bbbcfadf1156c3a2,True,43,True,86.129.207.193,GB,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1366,768,co2-emissions,global-warming-projection
romeo,footnote-group,5827634ea80bf4000199994b,True,42,True,176.251.204.69,GB,en-GB,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,864,co2-emissions,global-warming-projection
quebec,badge-group,6697cf02d714e7ee3fdedcec,True,41,True,51.198.179.180,GB,en-GB,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1098,618,co2-emissions,global-warming-projection
papa,footnote-group,67f015260f679212b3c34caa,True,40,True,223.29.157.147,US,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",1360,768,co2-emissions,global-warming-projection
kilo,badge-group,55eb4774748092000baa97ee,True,34,True,50.29.135.146,US,en-US,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_1_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/142.0.7444.148 Mobile/15E148 Safari/604.1",402,874,co2-emissions,global-warming-projection
oscar,badge-group,65537e14439274fe5036b4d2,True,39,True,158.41.91.0,GB,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1280,720,global-warming-projection,co2-emissions
november,badge-group,5d879c06e645c60019847113,True,38,True,147.147.87.164,GB,en-GB,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1440,900,co2-emissions,global-warming-projection
mike,footnote-group,667987c18f34110073ae20b7,True,36,True,2.219.41.230,GB,en-GB,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920,1080,global-warming-projection,co2-emissions
lima,badge-group,55c495d2fdf99b2d6cabb691,True,35,True,82.37.31.241,GB,en-GB,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1470,956,co2-emissions,global-warming-projection
juliet,badge-group,67d088ccec81d322ccede723,True,31,True,113.20.54.117,US,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",1366,768,global-warming-projection,co2-emissions
india,footnote-group,67f9613e658e3cf579bf5c25,True,29,True,68.229.35.191,US,en-GB,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1920,1080,global-warming-projection,co2-emissions
hotel,footnote-group,66e4e41d14e1d19d88229740,True,27,True,81.107.241.63,GB,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",1366,768,co2-emissions,global-warming-projection
golf,badge-group,676578e9b3ad38588f8808ba,True,24,True,86.158.80.136,GB,ja,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1366,768,co2-emissions,global-warming-projection
foxtrot,footnote-group,662e66138060bf4a9db8c159,True,22,True,174.106.54.188,US,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1707,960,global-warming-projection,co2-emissions
echo,badge-group,60cf0d251a90eb823bc9b740,True,20,True,90.241.160.53,GB,en-GB,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",1920,1080,co2-emissions,global-warming-projection
delta,footnote-group,6369700320bc7dd22e733009,True,19,True,108.89.4.171,US,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1275,797,global-warming-projection,co2-emissions
charlie,footnote-group,7b88dea0-0445-4362-b670-01be60f5195b,False,11,True,104.28.30.155,GB,en-US,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",1024,1366,global-warming-projection,co2-emissions
bravo,badge-group,782e2f94-ade5-4279-94aa-9dcdb26abbcd,False,9,True,104.28.30.123,GB,en-GB,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Safari/605.1.15",1512,859,global-warming-projection,co2-emissions
alpha,badge-group,5101b146-ce6f-4f61-8818-118229a2308b,False,7,True,,,en-GB,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0,1707,1067,co2-emissions,global-warming-projection
