stimulusId,participantId,participantReadableId,totalClickCount,totalHoverCount,totalDrawerOpenCount,totalHoverTime,totalDrawerOpenTime
co2-emissions,5101b146-ce6f-4f61-8818-118229a2308b,alpha,4,21,4,15.768,119.727
co2-emissions,55eb4774748092000baa97ee,kilo,0,3,0,3.057,0.0
co2-emissions,6697cf02d714e7ee3fdedcec,quebec,0,1,0,1.416,0.0
co2-emissions,782e2f94-ade5-4279-94aa-9dcdb26abbcd,bravo,5,8,5,4.017,14.061
global-warming-projection,5101b146-ce6f-4f61-8818-118229a2308b,alpha,13,19,13,9.463,111.483
global-warming-projection,55eb4774748092000baa97ee,kilo,0,5,0,22.106,0.0
global-warming-projection,5d879c06e645c60019847113,november,5,22,5,98.998,88.111
global-warming-projection,65537e14439274fe5036b4d2,oscar,0,15,0,26.585,0.0
global-warming-projection,6697cf02d714e7ee3fdedcec,quebec,0,2,0,0.385,0.0
global-warming-projection,676578e9b3ad38588f8808ba,golf,0,4,0,31.539,0.0
global-warming-projection,67eee89119de070d8b864f60,tango,0,1,0,0.033,0.0
global-warming-projection,782e2f94-ade5-4279-94aa-9dcdb26abbcd,bravo,5,18,5,20.437,14.659
