participantId,readableId,participantGroup,isProlific,prolificId
5101b146-ce6f-4f61-8818-118229a2308b,alpha,badge-group,False,
782e2f94-ade5-4279-94aa-9dcdb26abbcd,bravo,badge-group,False,
7b88dea0-0445-4362-b670-01be60f5195b,charlie,footnote-group,False,
6369700320bc7dd22e733009,delta,footnote-group,True,6369700320bc7dd22e733009
60cf0d251a90eb823bc9b740,echo,badge-group,True,60cf0d251a90eb823bc9b740
662e66138060bf4a9db8c159,foxtrot,footnote-group,True,662e66138060bf4a9db8c159
676578e9b3ad38588f8808ba,golf,badge-group,True,676578e9b3ad38588f8808ba
66e4e41d14e1d19d88229740,hotel,footnote-group,True,66e4e41d14e1d19d88229740
67f9613e658e3cf579bf5c25,india,footnote-group,True,67f9613e658e3cf579bf5c25
67d088ccec81d322ccede723,juliet,badge-group,True,67d088ccec81d322ccede723
55eb4774748092000baa97ee,kilo,badge-group,True,55eb4774748092000baa97ee
55c495d2fdf99b2d6cabb691,lima,badge-group,True,55c495d2fdf99b2d6cabb691
667987c18f34110073ae20b7,mike,footnote-group,True,667987c18f34110073ae20b7
5d879c06e645c60019847113,november,badge-group,True,5d879c06e645c60019847113
65537e14439274fe5036b4d2,oscar,badge-group,True,65537e14439274fe5036b4d2
67f015260f679212b3c34caa,papa,footnote-group,True,67f015260f679212b3c34caa
6697cf02d714e7ee3fdedcec,quebec,badge-group,True,6697cf02d714e7ee3fdedcec
5827634ea80bf4000199994b,romeo,footnote-group,True,5827634ea80bf4000199994b
63956692bbbcfadf1156c3a2,sierra,footnote-group,True,63956692bbbcfadf1156c3a2
67eee89119de070d8b864f60,tango,badge-group,True,67eee89119de070d8b864f60
5dcfaad2dd9a740c2493fc28,uniform,badge-group,True,5dcfaad2dd9a740c2493fc28
62d59b380be0866cf039e0ee,victor,footnote-group,True,62d59b380be0866cf039e0ee
676572d1818b3b26ca9f6ce2,whiskey,footnote-group,True,676572d1818b3b26ca9f6ce2
6630ec1ebe18d48a3cecb54e,xray,footnote-group,True,6630ec1ebe18d48a3cecb54e
